ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
47906,5243,66972,7.828600
46033,2018,34889,5.784000
46037,2890,35891,8.052100
46038,2676,37723,7.093800
46060,2662,34708,7.669700
46112,2501,33662,7.429700
46123,2464,31754,7.759600
46131,2067,31036,6.660000
46140,2306,38543,5.982900
46142,2051,30413,6.743800
46151,1814,30921,5.866500
46203,2018,38950,5.181000
46219,1862,33930,5.487700
